show_id,title,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s17,Show 17,TV Show,Director 3245,"Actor 1778, Actor 2110",Germany,5-Mar-2020,2004,Unrated,92 min,Children & Family Movies,This is the description for Show 17.
s18,Show 18,Movie,Director 3979,"Actor 688, Actor 2322",South Korea,13-Mar-2021,1972,R,3 Seasons,Romantic Movies,This is the description for Show 18.
s19,Show 19,TV Show,Director 4370,"Actor 79, Actor 3837",India,4-Sep-2020,1928,PG,97 min,"Dramas, International Movies",This is the description for Show 19.
s20,Show 20,Movie,Director 2021,"Actor 928, Actor 3699",United Kingdom,10-Jun-2020,1928,UR,154 min,Documentaries,This is the description for Show 20.
s21,Show 21,TV Show,Director 2287,"Actor 1351, Actor 3011",Japan,11-Sep-2020,2008,PG,61 min,Action & Adventure,This is the description for Show 21.
s22,Show 22,Movie,Director 2757,"Actor 1915, Actor 3564",United States,17-Jan-2021,1952,PG-13,133 min,"Dramas, International Movies",This is the description for Show 22.
s23,Show 23,Movie,Director 2355,"Actor 1514, Actor 3929",Canada,11-Oct-2020,1958,TV-Y,151 min,Action & Adventure,This is the description for Show 23.
s24,Show 24,TV Show,Director 1043,"Actor 740, Actor 2715",Spain,17-May-2021,1962,PG,7 Seasons,Documentaries,This is the description for Show 24.
s25,Show 25,TV Show,Director 3830,"Actor 1744, Actor 2460",United States,24-Mar-2020,1985,TV-18,146 min,"Comedies, Dramas",This is the description for Show 25.
s26,Show 26,TV Show,Director 1876,"Actor 917, Actor 3097",United Kingdom,6-Nov-2020,1968,TV-G,79 min,"Dramas, Independent Movies",This is the description for Show 26.
s27,Show 27,TV Show,Director 3262,"Actor 343, Actor 2293",France,25-Mar-2021,2021,TV-Y7,6 Seasons,Thrillers,This is the description for Show 27.
s28,Show 28,TV Show,Director 805,"Actor 1704, Actor 2269",Brazil,3-Jan-2020,1931,PG,162 min,Children & Family Movies,This is the description for Show 28.
s29,Show 29,TV Show,Director 2547,"Actor 1059, Actor 3119",Japan,23-Feb-2021,1965,R,166 min,Thrillers,This is the description for Show 29.
s30,Show 30,TV Show,Director 1680,"Actor 819, Actor 2239",France,3-Feb-2021,1958,TV-NR,2 Seasons,Thrillers,This is the description for Show 30.
s31,Show 31,TV Show,Director 4507,"Actor 436, Actor 3148",South Korea,19-Apr-2020,1942,TV-18,138 min,Action & Adventure,This is the description for Show 31.
s32,Show 32,TV Show,Director 1911,"Actor 811, Actor 3191",France,2-Aug-2020,2006,Unrated,7 Seasons,Documentaries,This is the description for Show 32.
s33,Show 33,TV Show,Director 234,"Actor 944, Actor 2551",India,15-Nov-2021,1984,UR,170 min,Action & Adventure,This is the description for Show 33.
s34,Show 34,TV Show,Director 3435,"Actor 1747, Actor 2442",Canada,8-Feb-2020,1942,TV-G,165 min,Documentaries,This is the description for Show 34.
s35,Show 35,TV Show,Director 2070,"Actor 1579, Actor 3584",India,26-Aug-2020,1929,Unrated,6 Seasons,"Dramas, International Movies",This is the description for Show 35.
s36,Show 36,TV Show,Director 324,"Actor 1481, Actor 3360",Spain,21-Jul-2021,1991,UR,7 Seasons,Romantic Movies,This is the description for Show 36.
s37,Show 37,TV Show,Director 1786,"Actor 747, Actor 3751",United States,3-Nov-2020,1929,PG-13,134 min,Horror Movies,This is the description for Show 37.
s38,Show 38,Movie,Director 4355,"Actor 1601, Actor 2667",Canada,1-Sep-2021,1930,TV-G,8 Seasons,Action & Adventure,This is the description for Show 38.
s39,Show 39,Movie,Director 374,"Actor 536, Actor 3570",Canada,17-Apr-2020,1973,R,97 min,"Dramas, Independent Movies",This is the description for Show 39.
s40,Show 40,TV Show,Director 4212,"Actor 921, Actor 2409",Japan,3-Oct-2020,2017,TV-NR,4 Seasons,Documentaries,This is the description for Show 40.
s41,Show 41,TV Show,Director 4444,"Actor 1141, Actor 2143",Germany,22-Jul-2021,2015,TV-PG,3 Seasons,"Dramas, Independent Movies",This is the description for Show 41.
s42,Show 42,TV Show,Director 2835,"Actor 418, Actor 2308",United States,7-Nov-2021,1935,TV-PG,4 Seasons,Documentaries,This is the description for Show 42.
s43,Show 43,Movie,Director 2921,"Actor 664, Actor 3576",Germany,21-Feb-2021,1963,TV-NR,60 min,Romantic Movies,This is the description for Show 43.
s44,Show 44,Movie,Director 3791,"Actor 181, Actor 2008",Canada,15-Oct-2020,2013,PG,9 Seasons,Thrillers,This is the description for Show 44.
s45,Show 45,Movie,Director 20,"Actor 1680, Actor 3359",France,6-May-2021,1997,TV-Y7-FV,75 min,Horror Movies,This is the description for Show 45.
s46,Show 46,TV Show,Director 350,"Actor 1038, Actor 2387",United Kingdom,7-Jun-2020,1975,R,84 min,Documentaries,This is the description for Show 46.
s47,Show 47,TV Show,Director 964,"Actor 700, Actor 2370",South Korea,19-Dec-2020,1971,G,7 Seasons,"Dramas, Independent Movies",This is the description for Show 47.
s48,Show 48,TV Show,Director 849,"Actor 704, Actor 3680",Brazil,28-Mar-2020,1993,TV-18,137 min,Horror Movies,This is the description for Show 48.
s49,Show 49,Movie,Director 2310,"Actor 1093, Actor 2283",United States,13-May-2021,1963,TV-18,153 min,Documentaries,This is the description for Show 49.
s50,Show 50,Movie,Director 3306,"Actor 1153, Actor 2119",United Kingdom,26-Apr-2021,1958,TV-M,120 min,Stand-Up Comedy,This is the description for Show 50.
s51,Show 51,Movie,Director 3280,"Actor 860, Actor 3805",Brazil,5-Feb-2020,1967,TV-18,172 min,"Comedies, Dramas",This is the description for Show 51.
s52,Show 52,Movie,Director 3623,"Actor 1972, Actor 3662",Canada,13-Dec-2020,1967,R,86 min,Romantic Movies,This is the description for Show 52.
s53,Show 53,Movie,Director 4135,"Actor 1158, Actor 3745",Germany,21-Aug-2021,1984,PG,10 Seasons,"Dramas, International Movies",This is the description for Show 53.
s54,Show 54,TV Show,Director 551,"Actor 663, Actor 2924",France,3-Jun-2020,1945,NR,9 Seasons,"Dramas, Independent Movies",This is the description for Show 54.
s55,Show 55,Movie,Director 3140,"Actor 1030, Actor 2698",Spain,18-May-2021,1933,TV-Y7,81 min,"Dramas, Independent Movies",This is the description for Show 55.
s56,Show 56,TV Show,Director 2147,"Actor 1659, Actor 2208",Brazil,2-Jul-2021,2004,TV-Y7,8 Seasons,Stand-Up Comedy,This is the description for Show 56.
s57,Show 57,Movie,Director 2230,"Actor 526, Actor 2494",France,16-Feb-2020,2021,TV-18,1 Seasons,Thrillers,This is the description for Show 57.
s58,Show 58,TV Show,Director 1968,"Actor 1794, Actor 2872",Japan,12-Jan-2021,1947,TV-Y,4 Seasons,Children & Family Movies,This is the description for Show 58.
s59,Show 59,TV Show,Director 4167,"Actor 1971, Actor 3872",France,2-Apr-2021,1994,TV-NR,7 Seasons,Action & Adventure,This is the description for Show 59.
s60,Show 60,Movie,Director 875,"Actor 1945, Actor 2487",India,16-Jul-2020,1959,PG-13,120 min,"Comedies, Dramas",This is the description for Show 60.
s61,Show 61,Movie,Director 325,"Actor 1733, Actor 3507",Canada,14-Jan-2020,1936,TV-13,68 min,"Dramas, International Movies",This is the description for Show 61.
s62,Show 62,Movie,Director 3960,"Actor 1338, Actor 3257",India,12-Oct-2021,1972,TV-13,7 Seasons,Documentaries,This is the description for Show 62.
s63,Show 63,Movie,Director 2032,"Actor 56, Actor 3678",Japan,4-Dec-2021,1966,PG-13,6 Seasons,Romantic Movies,This is the description for Show 63.
s64,Show 64,TV Show,Director 3433,"Actor 926, Actor 3658",United States,25-Mar-2021,1959,TV-PG,107 min,Children & Family Movies,This is the description for Show 64.
s65,Show 65,Movie,Director 3929,"Actor 575, Actor 2663",Brazil,12-May-2020,1953,G,164 min,Horror Movies,This is the description for Show 65.
s66,Show 66,TV Show,Director 2242,"Actor 329, Actor 2575",Canada,5-Sep-2021,2016,TV-Y7,10 Seasons,Thrillers,This is the description for Show 66.
s67,Show 67,Movie,Director 3486,"Actor 109, Actor 2604",United States,8-Sep-2020,1942,TV-Y7,135 min,"Dramas, Independent Movies",This is the description for Show 67.
s68,Show 68,Movie,Director 201,"Actor 1772, Actor 2318",South Korea,13-Jun-2021,1946,UR,6 Seasons,Children & Family Movies,This is the description for Show 68.
s69,Show 69,Movie,Director 600,"Actor 1069, Actor 2028",South Korea,5-Jan-2021,1988,TV-MA,92 min,"Comedies, Dramas",This is the description for Show 69.
s70,Show 70,TV Show,Director 3409,"Actor 512, Actor 3925",South Korea,2-Sep-2020,1934,TV-G,9 Seasons,Stand-Up Comedy,This is the description for Show 70.
s71,Show 71,TV Show,Director 1540,"Actor 1504, Actor 3614",United Kingdom,17-Jan-2020,1959,TV-Y7,112 min,Romantic Movies,This is the description for Show 71.
s72,Show 72,Movie,Director 704,"Actor 398, Actor 3726",United Kingdom,21-Nov-2020,2015,TV-14,1 Seasons,Children & Family Movies,This is the description for Show 72.
s73,Show 73,TV Show,Director 113,"Actor 1877, Actor 2142",Germany,4-Mar-2020,1962,TV-PG,80 min,Stand-Up Comedy,This is the description for Show 73.
s74,Show 74,Movie,Director 4235,"Actor 277, Actor 2165",United Kingdom,7-Mar-2021,1974,TV-G,1 Seasons,Stand-Up Comedy,This is the description for Show 74.
s75,Show 75,Movie,Director 202,"Actor 556, Actor 2134",United Kingdom,3-Jan-2020,1960,NR,6 Seasons,"Dramas, International Movies",This is the description for Show 75.
s76,Show 76,Movie,Director 3425,"Actor 653, Actor 3507",France,2-Dec-2021,1995,PG,152 min,"Dramas, International Movies",This is the description for Show 76.
s77,Show 77,TV Show,Director 194,"Actor 1744, Actor 2220",France,2-Apr-2020,1951,UR,174 min,Action & Adventure,This is the description for Show 77.
s78,Show 78,Movie,Director 1161,"Actor 360, Actor 3426",United Kingdom,26-Jul-2020,1954,TV-G,115 min,"Dramas, Independent Movies",This is the description for Show 78.
s79,Show 79,TV Show,Director 4039,"Actor 731, Actor 3702",United States,28-Dec-2020,2010,G,119 min,Romantic Movies,This is the description for Show 79.
s80,Show 80,TV Show,Director 4476,"Actor 1517, Actor 3267",South Korea,3-Feb-2020,2010,TV-PG,80 min,Romantic Movies,This is the description for Show 80.
s81,Show 81,Movie,Director 684,"Actor 629, Actor 3601",Japan,9-Nov-2020,1988,Unrated,4 Seasons,Stand-Up Comedy,This is the description for Show 81.
s82,Show 82,TV Show,Director 4477,"Actor 284, Actor 3142",United Kingdom,16-May-2020,2006,PG,10 Seasons,Children & Family Movies,This is the description for Show 82.
s83,Show 83,Movie,Director 3751,"Actor 353, Actor 3115",Canada,20-Aug-2021,1944,UR,111 min,"Dramas, Independent Movies",This is the description for Show 83.
s84,Show 84,TV Show,Director 1432,"Actor 650, Actor 2481",Brazil,11-Mar-2020,1961,NR,148 min,Children & Family Movies,This is the description for Show 84.
s85,Show 85,TV Show,Director 124,"Actor 1175, Actor 3515",Spain,13-Aug-2020,2021,TV-18,6 Seasons,Stand-Up Comedy,This is the description for Show 85.
s86,Show 86,TV Show,Director 4068,"Actor 1634, Actor 3221",India,6-Jun-2021,1941,TV-13,72 min,Romantic Movies,This is the description for Show 86.
s87,Show 87,Movie,Director 2217,"Actor 1258, Actor 2172",Japan,19-May-2020,1993,TV-14,139 min,"Comedies, Dramas",This is the description for Show 87.
s88,Show 88,Movie,Director 3841,"Actor 954, Actor 2935",United States,22-Mar-2021,1931,TV-NR,8 Seasons,Romantic Movies,This is the description for Show 88.
s89,Show 89,Movie,Director 1109,"Actor 292, Actor 2249",Spain,16-Feb-2021,1943,TV-Y,6 Seasons,Stand-Up Comedy,This is the description for Show 89.
s90,Show 90,TV Show,Director 669,"Actor 931, Actor 2411",United Kingdom,3-Jul-2020,2010,TV-18,9 Seasons,"Dramas, International Movies",This is the description for Show 90.
s91,Show 91,TV Show,Director 4150,"Actor 777, Actor 2070",Japan,18-Sep-2021,1961,TV-Y7,144 min,"Dramas, Independent Movies",This is the description for Show 91.
s92,Show 92,Movie,Director 2802,"Actor 1485, Actor 2158",United Kingdom,3-Apr-2020,1983,Unrated,153 min,Children & Family Movies,This is the description for Show 92.
s93,Show 93,Movie,Director 721,"Actor 987, Actor 3747",Canada,27-Apr-2020,1979,G,5 Seasons,Horror Movies,This is the description for Show 93.
s94,Show 94,Movie,Director 2437,"Actor 1712, Actor 2459",South Korea,3-Mar-2021,1934,TV-18,4 Seasons,Children & Family Movies,This is the description for Show 94.
s95,Show 95,Movie,Director 1983,"Actor 797, Actor 2610",Japan,17-Apr-2021,2004,PG,2 Seasons,"Dramas, Independent Movies",This is the description for Show 95.
s96,Show 96,TV Show,Director 199,"Actor 894, Actor 3772",United States,21-Dec-2020,2011,TV-MA,6 Seasons,"Comedies, Dramas",This is the description for Show 96.
s97,Show 97,TV Show,Director 3709,"Actor 1739, Actor 2720",Canada,27-Jul-2020,1929,UR,105 min,Thrillers,This is the description for Show 97.
s98,Show 98,TV Show,Director 714,"Actor 1407, Actor 3530",France,28-Jun-2021,1976,Unrated,8 Seasons,"Dramas, Independent Movies",This is the description for Show 98.
s99,Show 99,TV Show,Director 523,"Actor 65, Actor 2188",Japan,4-Mar-2020,1972,TV-PG,132 min,Children & Family Movies,This is the description for Show 99.
s100,Show 100,Movie,Director 641,"Actor 1153, Actor 3062",India,26-Nov-2020,1932,R,3 Seasons,Thrillers,This is the description for Show 100.
s101,Show 101,Movie,Director 4450,"Actor 219, Actor 3685",India,27-Jul-2020,1973,TV-M,77 min,Thrillers,This is the description for Show 101.
s102,Show 102,Movie,Director 4275,"Actor 1543, Actor 2784",Japan,5-Feb-2020,2013,TV-MA,8 Seasons,Action & Adventure,This is the description for Show 102.
s103,Show 103,TV Show,Director 2914,"Actor 1919, Actor 2690",South Korea,5-May-2020,1968,TV-G,75 min,"Dramas, International Movies",This is the description for Show 103.
s104,Show 104,Movie,Director 3137,"Actor 709, Actor 3861",South Korea,24-Oct-2020,1956,TV-Y7,67 min,"Dramas, International Movies",This is the description for Show 104.
s105,Show 105,Movie,Director 242,"Actor 219, Actor 3490",France,24-Jun-2021,1973,TV-Y,5 Seasons,Children & Family Movies,This is the description for Show 105.
s106,Show 106,TV Show,Director 2079,"Actor 1358, Actor 2267",Brazil,23-Feb-2020,2000,TV-G,73 min,Action & Adventure,This is the description for Show 106.
s107,Show 107,Movie,Director 4219,"Actor 403, Actor 2839",India,25-Apr-2020,2020,TV-Y,109 min,"Dramas, International Movies",This is the description for Show 107.
s108,Show 108,TV Show,Director 2621,"Actor 487, Actor 2230",United Kingdom,5-Feb-2020,1967,PG,1 Seasons,Action & Adventure,This is the description for Show 108.
s109,Show 109,Movie,Director 2826,"Actor 19, Actor 2738",South Korea,8-Jul-2021,1947,TV-NR,4 Seasons,Children & Family Movies,This is the description for Show 109.
s110,Show 110,Movie,Director 1348,"Actor 664, Actor 2306",United States,26-Mar-2021,1956,R,117 min,Thrillers,This is the description for Show 110.
s111,Show 111,TV Show,Director 1078,"Actor 358, Actor 2642",United Kingdom,17-Feb-2021,1942,TV-14,1 Seasons,Children & Family Movies,This is the description for Show 111.
s112,Show 112,Movie,Director 4318,"Actor 608, Actor 2187",South Korea,8-Jun-2020,1985,TV-13,161 min,Thrillers,This is the description for Show 112.
s113,Show 113,Movie,Director 3232,"Actor 723, Actor 3834",United States,15-Oct-2021,2002,NR,100 min,"Dramas, International Movies",This is the description for Show 113.
s114,Show 114,TV Show,Director 1762,"Actor 53, Actor 3289",Japan,12-Jun-2020,1974,TV-M,148 min,Action & Adventure,This is the description for Show 114.
s115,Show 115,Movie,Director 515,"Actor 167, Actor 2505",Canada,10-Jul-2021,1964,TV-14,103 min,Stand-Up Comedy,This is the description for Show 115.
s116,Show 116,Movie,Director 4253,"Actor 520, Actor 2468",India,6-Jun-2021,1987,TV-13,4 Seasons,Stand-Up Comedy,This is the description for Show 116.
s117,Show 117,TV Show,Director 470,"Actor 225, Actor 3380",Canada,23-Nov-2021,2020,R,4 Seasons,Romantic Movies,This is the description for Show 117.
s118,Show 118,TV Show,Director 3842,"Actor 1056, Actor 3217",Japan,4-Jul-2021,1996,TV-14,7 Seasons,Stand-Up Comedy,This is the description for Show 118.
s119,Show 119,Movie,Director 573,"Actor 1385, Actor 2336",Canada,8-Mar-2020,2001,TV-Y7-FV,82 min,Children & Family Movies,This is the description for Show 119.
s120,Show 120,TV Show,Director 3210,"Actor 1999, Actor 2016",India,14-Feb-2020,1956,TV-14,142 min,Action & Adventure,This is the description for Show 120.
s121,Show 121,Movie,Director 1990,"Actor 1377, Actor 3434",Brazil,22-Nov-2021,1949,G,71 min,"Dramas, International Movies",This is the description for Show 121.
s122,Show 122,TV Show,Director 1597,"Actor 1919, Actor 3418",India,27-Jul-2021,1997,TV-Y7-FV,167 min,"Dramas, Independent Movies",This is the description for Show 122.
s123,Show 123,Movie,Director 3252,"Actor 1664, Actor 3130",Canada,22-Dec-2021,1974,TV-PG,8 Seasons,Thrillers,This is the description for Show 123.
s124,Show 124,Movie,Director 1747,"Actor 1496, Actor 3622",United States,5-Sep-2021,1965,TV-PG,10 Seasons,Horror Movies,This is the description for Show 124.
s125,Show 125,TV Show,Director 679,"Actor 1832, Actor 2152",Germany,14-Dec-2020,1990,TV-MA,6 Seasons,Horror Movies,This is the description for Show 125.
s126,Show 126,Movie,Director 3267,"Actor 1293, Actor 3636",Canada,13-Jan-2021,1981,UR,10 Seasons,Action & Adventure,This is the description for Show 126.
s127,Show 127,TV Show,Director 2284,"Actor 1964, Actor 2937",United Kingdom,26-Aug-2021,1948,TV-Y,76 min,"Dramas, Independent Movies",This is the description for Show 127.
s128,Show 128,Movie,Director 605,"Actor 1438, Actor 3574",Canada,10-Jun-2021,1940,UR,10 Seasons,Horror Movies,This is the description for Show 128.
s129,Show 129,TV Show,Director 2016,"Actor 1595, Actor 3442",South Korea,17-Jun-2021,1930,Unrated,90 min,"Comedies, Dramas",This is the description for Show 129.
s130,Show 130,Movie,Director 3376,"Actor 571, Actor 3115",Brazil,17-Apr-2021,1941,G,8 Seasons,Romantic Movies,This is the description for Show 130.
s131,Show 131,Movie,Director 25,"Actor 1492, Actor 2686",Japan,11-Mar-2020,1980,TV-G,9 Seasons,Horror Movies,This is the description for Show 131.
s132,Show 132,TV Show,Director 3776,"Actor 404, Actor 3574",India,20-Nov-2021,1976,TV-13,3 Seasons,Children & Family Movies,This is the description for Show 132.
s133,Show 133,TV Show,Director 4098,"Actor 999, Actor 3827",India,15-Mar-2020,2018,NR,62 min,Stand-Up Comedy,This is the description for Show 133.
s134,Show 134,Movie,Director 2623,"Actor 718, Actor 2047",South Korea,17-Oct-2020,1941,UR,143 min,"Dramas, International Movies",This is the description for Show 134.
s135,Show 135,Movie,Director 1164,"Actor 1294, Actor 2132",United Kingdom,19-Feb-2020,1961,TV-13,178 min,Documentaries,This is the description for Show 135.
s136,Show 136,TV Show,Director 1054,"Actor 1429, Actor 3595",Canada,24-Mar-2020,1987,TV-18,157 min,Action & Adventure,This is the description for Show 136.
s137,Show 137,Movie,Director 82,"Actor 446, Actor 2533",India,19-Jul-2020,1934,Unrated,4 Seasons,Horror Movies,This is the description for Show 137.
s138,Show 138,Movie,Director 94,"Actor 932, Actor 3206",Japan,8-Jul-2021,2017,TV-Y,2 Seasons,Stand-Up Comedy,This is the description for Show 138.
s139,Show 139,TV Show,Director 2195,"Actor 576, Actor 2594",India,16-Nov-2020,1930,TV-Y,97 min,Children & Family Movies,This is the description for Show 139.
s140,Show 140,Movie,Director 1201,"Actor 1651, Actor 3476",Canada,21-Nov-2021,1997,TV-PG,2 Seasons,"Dramas, Independent Movies",This is the description for Show 140.
s141,Show 141,Movie,Director 3672,"Actor 361, Actor 3117",Spain,23-Jun-2021,1938,TV-G,2 Seasons,"Comedies, Dramas",This is the description for Show 141.
s142,Show 142,TV Show,Director 4169,"Actor 686, Actor 3636",Spain,15-Apr-2021,1963,R,9 Seasons,Action & Adventure,This is the description for Show 142.
s143,Show 143,TV Show,Director 3880,"Actor 174, Actor 2673",South Korea,3-Jul-2020,1928,Unrated,3 Seasons,"Dramas, Independent Movies",This is the description for Show 143.
s144,Show 144,TV Show,Director 230,"Actor 1184, Actor 3106",France,27-Aug-2021,1985,TV-NR,4 Seasons,Action & Adventure,This is the description for Show 144.
s145,Show 145,Movie,Director 2751,"Actor 125, Actor 2182",France,16-Dec-2021,1966,TV-13,4 Seasons,Thrillers,This is the description for Show 145.
s146,Show 146,TV Show,Director 1453,"Actor 1125, Actor 2204",Germany,23-Mar-2021,1926,TV-NR,110 min,"Comedies, Dramas",This is the description for Show 146.
s147,Show 147,Movie,Director 3535,"Actor 1128, Actor 3779",France,1-Jul-2021,1931,TV-13,4 Seasons,"Comedies, Dramas",This is the description for Show 147.
s148,Show 148,TV Show,Director 4065,"Actor 1518, Actor 3504",France,28-May-2020,2020,TV-14,102 min,Thrillers,This is the description for Show 148.
s149,Show 149,TV Show,Director 4180,"Actor 483, Actor 2957",South Korea,21-Jul-2021,1960,G,9 Seasons,Documentaries,This is the description for Show 149.
s150,Show 150,Movie,Director 2508,"Actor 1185, Actor 3227",South Korea,9-May-2021,1959,G,9 Seasons,Romantic Movies,This is the description for Show 150.
s151,Show 151,Movie,Director 4527,"Actor 168, Actor 3810",United Kingdom,12-Jul-2021,2018,NC-17,68 min,Action & Adventure,This is the description for Show 151.
s152,Show 152,Movie,Director 443,"Actor 1299, Actor 3858",India,25-Feb-2021,1925,TV-Y7-FV,157 min,Romantic Movies,This is the description for Show 152.
s153,Show 153,TV Show,Director 2876,"Actor 1507, Actor 2535",Japan,5-Oct-2021,1937,TV-Y7-FV,4 Seasons,Documentaries,This is the description for Show 153.
s154,Show 154,TV Show,Director 363,"Actor 778, Actor 2398",Spain,17-Feb-2021,1939,TV-G,2 Seasons,"Comedies, Dramas",This is the description for Show 154.
s155,Show 155,Movie,Director 3436,"Actor 291, Actor 2181",United States,13-Jul-2021,1961,TV-M,4 Seasons,Horror Movies,This is the description for Show 155.
s156,Show 156,Movie,Director 1322,"Actor 469, Actor 2837",Japan,13-Jun-2021,2019,TV-Y,1 Seasons,Thrillers,This is the description for Show 156.
s157,Show 157,Movie,Director 422,"Actor 1273, Actor 2734",India,14-Jun-2020,1993,TV-Y7-FV,5 Seasons,"Dramas, International Movies",This is the description for Show 157.
s158,Show 158,TV Show,Director 1388,"Actor 203, Actor 2116",Spain,10-Jan-2020,1991,PG-13,102 min,"Dramas, International Movies",This is the description for Show 158.
s159,Show 159,TV Show,Director 4403,"Actor 94, Actor 2531",Germany,17-Oct-2021,1932,TV-13,3 Seasons,Documentaries,This is the description for Show 159.
s160,Show 160,TV Show,Director 4363,"Actor 9, Actor 2840",France,24-Feb-2020,2013,G,9 Seasons,Action & Adventure,This is the description for Show 160.
s161,Show 161,TV Show,Director 4028,"Actor 973, Actor 3592",Germany,9-Mar-2021,2012,TV-MA,168 min,Horror Movies,This is the description for Show 161.
s162,Show 162,Movie,Director 2861,"Actor 1202, Actor 2377",Germany,9-Nov-2020,2004,TV-M,4 Seasons,Action & Adventure,This is the description for Show 162.
s163,Show 163,TV Show,Director 988,"Actor 1489, Actor 2180",Canada,18-Jul-2021,1986,UR,10 Seasons,Documentaries,This is the description for Show 163.
s164,Show 164,Movie,Director 2831,"Actor 1663, Actor 3151",South Korea,22-Aug-2020,1977,TV-13,75 min,"Dramas, Independent Movies",This is the description for Show 164.
s165,Show 165,TV Show,Director 1092,"Actor 1943, Actor 2871",South Korea,24-Jul-2021,1967,TV-13,100 min,"Dramas, Independent Movies",This is the description for Show 165.
s166,Show 166,Movie,Director 3021,"Actor 258, Actor 2875",United Kingdom,18-Apr-2021,2017,TV-13,141 min,"Dramas, International Movies",This is the description for Show 166.
s167,Show 167,Movie,Director 3030,"Actor 1154, Actor 2830",Spain,22-Jun-2020,2017,PG,175 min,Children & Family Movies,This is the description for Show 167.
s168,Show 168,TV Show,Director 509,"Actor 1227, Actor 2994",Brazil,4-Nov-2021,1987,NR,5 Seasons,Stand-Up Comedy,This is the description for Show 168.
s169,Show 169,Movie,Director 1838,"Actor 1287, Actor 3475",United Kingdom,17-Aug-2021,1981,R,114 min,Romantic Movies,This is the description for Show 169.
s170,Show 170,TV Show,Director 2002,"Actor 1759, Actor 4000",Germany,5-Mar-2021,2014,G,162 min,"Dramas, International Movies",This is the description for Show 170.
s171,Show 171,Movie,Director 395,"Actor 499, Actor 2580",Germany,4-Jul-2020,1967,PG,2 Seasons,Documentaries,This is the description for Show 171.
s172,Show 172,Movie,Director 1843,"Actor 1409, Actor 3019",Germany,24-May-2021,1967,UR,134 min,Horror Movies,This is the description for Show 172.
s173,Show 173,Movie,Director 2155,"Actor 8, Actor 2851",France,1-Aug-2020,2012,TV-PG,82 min,"Dramas, International Movies",This is the description for Show 173.
s174,Show 174,TV Show,Director 3661,"Actor 1235, Actor 2062",France,1-Feb-2021,1993,G,70 min,Action & Adventure,This is the description for Show 174.
s175,Show 175,TV Show,Director 1284,"Actor 1195, Actor 2088",Spain,5-Mar-2020,1940,TV-Y,80 min,"Dramas, International Movies",This is the description for Show 175.
s176,Show 176,Movie,Director 1328,"Actor 1656, Actor 2520",Germany,11-Mar-2020,1974,NC-17,10 Seasons,Stand-Up Comedy,This is the description for Show 176.
